iter	RMSE
0	0.2290830999
1	0.2233628585
2	0.2174666589
3	0.2122076632
4	0.2074251283
5	0.2025256815
6	0.1980085548
7	0.1936215119
8	0.1895963912
9	0.1857290958
10	0.1819152558
11	0.1786749299
12	0.1753369243
13	0.172155511
14	0.1692452187
15	0.1666648806
16	0.1642848538
17	0.1619196089
18	0.1597710444
19	0.1577269487
20	0.1559685426
21	0.1542172748
22	0.1524147337
23	0.1507457984
24	0.1492920917
25	0.1479527813
26	0.1465605081
27	0.1452968054
28	0.1441097736
29	0.1429667504
30	0.1418074051
31	0.1408221697
32	0.1399277945
33	0.1390314201
34	0.1381919066
35	0.1375075961
36	0.136743878
37	0.1359758374
38	0.1353362294
39	0.1346769871
40	0.1340785592
41	0.1334858318
42	0.1328600911
43	0.1322615576
44	0.1317960506
45	0.1313514679
46	0.1308254827
47	0.1304547539
48	0.1300520644
49	0.1297300333
50	0.1292677588
51	0.1288498552
52	0.1285358169
53	0.1281431527
54	0.127882421
55	0.1275404561
56	0.127157649
57	0.1268280341
58	0.1265447443
59	0.1262614959
60	0.1259144095
61	0.1257082922
62	0.125462834
63	0.1250893888
64	0.1248486662
65	0.1246121504
66	0.1242456994
67	0.1240812468
68	0.1238643308
69	0.1235831892
70	0.1234316672
71	0.1232644151
72	0.1230947956
73	0.1229172122
74	0.1227839087
75	0.1226381382
76	0.1224855514
77	0.1222587607
78	0.1220276883
79	0.1218649861
80	0.1217498508
81	0.1215077376
82	0.1213160426
83	0.1211501338
84	0.1209821815
85	0.1208226425
86	0.1206620517
87	0.1205495183
88	0.1203896126
89	0.1202355456
90	0.1201062493
91	0.1199703929
92	0.119821498
93	0.119594065
94	0.1194429096
95	0.1193227707
96	0.119001733
97	0.1187882326
98	0.1184851884
99	0.1183671833
100	0.1181996656
101	0.1180404858
102	0.1178498708
103	0.1176363138
104	0.1174616826
105	0.1172996229
106	0.1171757369
107	0.1169996247
108	0.1169012172
109	0.1167738655
110	0.1166621484
111	0.1164331009
112	0.1162165642
113	0.1161515089
114	0.1160070767
115	0.1158868989
116	0.1157030309
117	0.1155152205
118	0.1153300239
119	0.1152674375
120	0.1151771613
121	0.1150669063
122	0.1149582782
123	0.1148513125
124	0.1147635143
125	0.1145008178
126	0.1144388112
127	0.1142653328
128	0.1142009224
129	0.1140990224
130	0.1139808655
131	0.1139550894
132	0.1137889558
133	0.1136580808
134	0.1134379639
135	0.1132140094
136	0.1130197049
137	0.112929274
138	0.1127745495
139	0.1126488798
140	0.1124736865
141	0.1123881809
142	0.1121469586
143	0.1120573472
144	0.1118090025
145	0.1116016942
146	0.1114236388
147	0.1113257288
148	0.1112326665
149	0.1111053458
150	0.1108808906
151	0.110820482
152	0.110748822
153	0.1106686151
154	0.1106112296
155	0.1104840064
156	0.1103397776
157	0.1101436873
158	0.1100853037
159	0.1099707246
160	0.1098815888
161	0.1096971034
162	0.1095924713
163	0.1094638296
164	0.1094116467
165	0.1091800545
166	0.1090135292
167	0.1088175693
168	0.1087119437
169	0.1086168406
170	0.1084225173
171	0.1083862989
172	0.1082173857
173	0.1081000691
174	0.1079125346
175	0.1078047972
176	0.1075586058
177	0.1073590568
178	0.1072333272
179	0.1070400978
180	0.1069718559
181	0.106815674
182	0.1066169456
183	0.1065356565
184	0.1063944066
185	0.1063704508
186	0.1062886617
187	0.106195765
188	0.1061275971
189	0.1060021928
190	0.1058927085
191	0.1058585637
192	0.1057458248
193	0.105686185
194	0.1054945628
195	0.1054316614
196	0.1053594002
197	0.1052278602
198	0.1050941332
199	0.1050444593
200	0.1048931876
201	0.1048336092
202	0.1047209817
203	0.1046688029
204	0.1046094106
205	0.1045038056
206	0.1042859676
207	0.104156299
208	0.1041127546
209	0.1040217597
210	0.1039947827
211	0.1038774118
212	0.1036773576
213	0.1036211367
214	0.103428386
215	0.1031724875
216	0.103088788
217	0.1028892053
218	0.1028125176
219	0.1027676614
220	0.1026304185
221	0.102526016
222	0.1024474658
223	0.1021548812
224	0.1020651091
225	0.101928643
226	0.1018706694
227	0.1017254835
228	0.1016086589
229	0.1014783191
230	0.1012918549
231	0.1012216054
232	0.1011238235
233	0.1009564112
234	0.1009357916
235	0.100887131
236	0.1007095964
237	0.100520374
238	0.1003581131
239	0.1003072345
240	0.1002607341
241	0.10017047
242	0.09999053275
243	0.09983793659
244	0.09967527176
245	0.09945286164
246	0.09922531601
247	0.09914640282
248	0.0989265235
249	0.09887537964
250	0.09870828387
251	0.098546508
252	0.0982708538
253	0.0982226105
254	0.09818311923
255	0.09814733593
256	0.09800053444
257	0.09797897939
258	0.09785270233
259	0.09766607154
260	0.09761216344
261	0.09753394575
262	0.09735595465
263	0.0972652228
264	0.09708553757
265	0.09700919924
266	0.09694183929
267	0.09678774186
268	0.09677610375
269	0.09671213535
270	0.09656564056
271	0.09648196177
272	0.09640014673
273	0.09628474894
274	0.09622107127
275	0.09602855432
276	0.09595037367
277	0.09573287519
278	0.09566708988
279	0.09559714762
280	0.09553462673
281	0.09543645212
282	0.09538954336
283	0.09530822446
284	0.0950857959
285	0.09483700757
286	0.09468947116
287	0.09459751027
288	0.09454243587
289	0.09451071476
290	0.09444969825
291	0.09426905313
292	0.0942371086
293	0.09420829814
294	0.09417717449
295	0.09410026413
296	0.09406542768
297	0.09392083437
298	0.09387369487
299	0.09381928437
300	0.09367871202
301	0.09364785576
302	0.09342767066
303	0.09327655243
304	0.09315246956
305	0.09308359613
306	0.09294360114
307	0.09283976799
308	0.09282987305
309	0.09274103862
310	0.0926478446
311	0.09249773551
312	0.09240923689
313	0.09233262798
314	0.09219039295
315	0.09214015108
316	0.09206378724
317	0.09199493133
318	0.09182569261
319	0.09169640796
320	0.09152077068
321	0.09142480042
322	0.09138764543
323	0.09123646852
324	0.09111424241
325	0.09108424063
326	0.09101263587
327	0.09099997036
328	0.09092975974
329	0.09081594876
330	0.0907172105
331	0.09060174264
332	0.09055570367
333	0.09042695005
334	0.09034954242
335	0.09018893907
336	0.09004724015
337	0.08974938829
338	0.08969054452
339	0.08956183173
340	0.08947550504
341	0.08940853743
342	0.08934576324
343	0.08928576951
344	0.0891154353
345	0.08907739707
346	0.08897372094
347	0.08893538254
348	0.08881143997
349	0.0886811461
350	0.08854077028
351	0.08850322929
352	0.08847643725
353	0.08843817997
354	0.08833069762
355	0.08825382659
356	0.08820393892
357	0.08814994965
358	0.0881055191
359	0.0879749055
360	0.08788342989
361	0.08775927476
362	0.08765196935
363	0.08753085016
364	0.08738533436
365	0.08731260289
366	0.08725624838
367	0.08712484674
368	0.08704661086
369	0.08694652869
370	0.08689714693
371	0.08682807038
372	0.08675950278
373	0.08668145533
374	0.08660814233
375	0.08657295286
376	0.08645838246
377	0.08644794729
378	0.08632735686
379	0.08629300801
380	0.08619944782
381	0.08611684248
382	0.08608273684
383	0.0859740475
384	0.0858308913
385	0.08579544513
386	0.08573083907
387	0.08561702181
388	0.08559676611
389	0.0855208136
390	0.08541426957
391	0.08539176982
392	0.08519918756
393	0.08507808169
394	0.08500256281
395	0.08491348574
396	0.08474494611
397	0.08463481707
398	0.08456974611
399	0.08443580302
400	0.08438547912
401	0.08435970318
402	0.08426925833
403	0.08423690841
404	0.08420788023
405	0.08410878099
406	0.08407801427
407	0.08400860043
408	0.08386041598
409	0.08375820524
410	0.0836931851
411	0.08362534276
412	0.08348194363
413	0.08346672258
414	0.08329522977
415	0.08312044507
416	0.08296494651
417	0.08288063757
418	0.08283313079
419	0.08277343903
420	0.08270086806
421	0.0825304281
422	0.08247262914
423	0.0824567177
424	0.08237907439
425	0.08229734349
426	0.08227664947
427	0.08214191596
428	0.08206945697
429	0.08194163005
430	0.08188119028
431	0.08179126929
432	0.08163362497
433	0.08148562751
434	0.0814578705
435	0.08130885573
436	0.08114846933
437	0.08108811184
438	0.0810233791
439	0.080918
440	0.0807596662
441	0.08063142402
442	0.08049827445
443	0.08044523346
444	0.08039038966
445	0.08025790098
446	0.08022178125
447	0.08012225278
448	0.0800034377
449	0.07987066124
450	0.07976260662
451	0.07965025212
452	0.0795409475
453	0.07950697699
454	0.07941250343
455	0.07938292262
456	0.07922823252
457	0.07910241619
458	0.07897471629
459	0.0788282213
460	0.07878576748
461	0.07866756479
462	0.07866147651
463	0.07856777189
464	0.07845144294
465	0.07834537078
466	0.07822979809
467	0.078088451
468	0.07800857483
469	0.07785259231
470	0.07772962343
471	0.07767695534
472	0.07764675546
473	0.07754725157
474	0.07753847213
475	0.07751943812
476	0.07745046309
477	0.07740050145
478	0.07731271913
479	0.07730548015
480	0.07722157239
481	0.07717961487
482	0.07716339698
483	0.07702248265
484	0.07688906528
485	0.07684723521
486	0.07681392143
487	0.07677096723
488	0.07674158749
489	0.07665684765
490	0.07651160277
491	0.07636808932
492	0.07629264189
493	0.07622472529
494	0.07607725181
495	0.07599274424
496	0.07588633729
497	0.07583611665
498	0.07579036256
499	0.07570556497
